"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1",5431.87109177704,1.54105812176352,0.410080226247479,3.7579430148712,0.000171315882054605,0.000220263276927349,"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA
"ASV10",3432.82764094159,-4.23254874220027,0.316383366542968,-13.3779117039184,8.14024373622977e-41,7.32621936260679e-40,"Bacteria","Firmicutes",NA,NA,NA,NA,NA
"ASV18",2122.07146560652,1.89228456378106,0.436028777516451,4.33981576757205,1.42602219687757e-05,2.56683995437963e-05,"Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV30",296.423813077092,-3.50643486256452,0.88564798414161,-3.95917444103148,7.52092900748168e-05,0.000112813935112225,"Bacteria","Cyanobacteria",NA,NA,NA,NA,NA
"ASV63",45.8081750541625,-8.74783645346732,1.05225085929655,-8.31345147041785,9.29580452260077e-17,4.18311203517035e-16,"Bacteria","Deferribacteres",NA,NA,NA,NA,NA
"ASV128",29.40110830515,-8.10846033904717,1.13338548300909,-7.15419463245596,8.41655794113516e-13,2.52496738234055e-12,"Bacteria","Tenericutes",NA,NA,NA,NA,NA
"ASV138",17.6178404791919,-5.34778321766581,0.862448253252172,-6.20070038695083,5.62124369583781e-10,1.26477983156351e-09,"Bacteria","Actinobacteria",NA,NA,NA,NA,NA
